KBA-Referenznummer;Rckrufcode des Herstellers;Verffentlichungsdatum;Marke;Modell;Mangelbezeichnung;Produktionszeitraum von;Produktionszeitraum bis;Rckrufseite des Herstellers;Mangelbeschreibung;Titel der Manahme;Beschreibung der Manahme;Mgliche Eingrenzung der betroffenen Modelle;Bekannte Vorflle mit Sach- und/oder Personenschden;Anzahl potentiell betroffene Fahrzeugteile weltweit;Anzahl potentiell betroffene Fahrzeugteile
1157;Tank Recall;39448;ARCTIC CAT;650V2;Durch ungleichmäßige Wandstärken des Tanks kann es zu Undichtigkeiten kommen.;2005;2005;N/A;Durch ungleichmäßige Wandstärken des Tanks kann es zu Undichtigkeiten kommen.;;;N/A;N/A;N/A;7
1126;OSB 04-8A-023;39448;CHEVROLET;LACETTI, EVANDA, NUBIRA;Durch versehentlich nach oben gezogenes oder gedrücktes Bremspedal kann sich die Einstellung des Bremslichtschalters verändern und die Bremsleuchten sind dauernd eingeschaltet.;1995;1997;N/A;Durch versehentlich nach oben gezogenes oder gedrücktes Bremspedal kann sich die Einstellung des Bremslichtschalters verändern und die Bremsleuchten sind dauernd eingeschaltet.;;;N/A;N/A;N/A;5518
1114;04086 b;39448;CHEVROLET;CORVETTE;Falsch verlegte Bremsleitungen können mit heißen Fahrzeugteilen in Berührung kommen und zum Bremsflüssigkeitsverlust führen.;2004;2005;N/A;Falsch verlegte Bremsleitungen können mit heißen Fahrzeugteilen in Berührung kommen und zum Bremsflüssigkeitsverlust führen.;;;N/A;N/A;N/A;60
1010;D11;39448;CHRYSLER;CROSSFIRE;Der Kühlerzulaufschlauch wird durch die Lüfterabdeckung beschädigt, was zu Kühlwasserverlust und Motorschäden führen kann.;2004;2004;N/A;Der Kühlerzulaufschlauch wird durch die Lüfterabdeckung beschädigt, was zu Kühlwasserverlust und Motorschäden führen kann.;;;N/A;N/A;N/A;825
1032;0AEA;39448;RENAULT;LAGUNA, CLIO, AVANTIME;Die fehlerhafte Programmierung des Einspritzsteuergerätes führt zur Drehzahlerhöhung. Betroffen sind Fahrzeuge mit V6-Benzinmotor.;2002;2004;N/A;Die fehlerhafte Programmierung des Einspritzsteuergerätes führt zur Drehzahlerhöhung. Betroffen sind Fahrzeuge mit V6-Benzinmotor.;;;N/A;N/A;N/A;391
0981;42;39448;FERRARI;360;Bruch der Verdampfungsventile führt zum Austritt von Benzindämpfen.;2000;2003;N/A;Bruch der Verdampfungsventile führt zum Austritt von Benzindämpfen.;;;Spider;N/A;N/A;400
1038;04043;39448;CADILLAC;CTS, SRX, XLR;Unzureichende Unterlegscheiben können zum Lockern der Verschraubung aller unteren Querlenker führen.;2004;2004;N/A;Unzureichende Unterlegscheiben können zum Lockern der Verschraubung aller unteren Querlenker führen.;;;N/A;N/A;N/A;28
1046;N/A;39448;MAZDA;TRIBUTE;Mögliches Blockieren des Gasseilzuges;2001;2003;N/A;Mögliches Blockieren des Gasseilzuges;;;N/A;N/A;N/A;1204
1047;HALTERHFM;39448;MERCEDES-BENZ;VIANO, VITO;Unzureichend befestigter Luftmassenmesser kann verrutschen und zu mangelhafter Gemischbildung mit Motorausfällen führen;2003;2004;N/A;Unzureichend befestigter Luftmassenmesser kann verrutschen und zu mangelhafter Gemischbildung mit Motorausfällen führen;;;N/A;N/A;N/A;450
1049;20L2099LUK;39448;SKODA;OCTAVIA, SUPERB, FABIA;Unzureichend dimensionierte Schrauben an der Kraftstoffpumpe können abreißen und zum Austritt von Dieselkraftstoff führen.;2004;2004;N/A;Unzureichend dimensionierte Schrauben an der Kraftstoffpumpe können abreißen und zum Austritt von Dieselkraftstoff führen.;;;N/A;N/A;N/A;4984
1068;D175;39448;LAND ROVER;FREELANDER;Die Verwendung einer falschen Käfigmutter für die Befestigung des Hilfsrahmens an der Karosserie kann zu einer Rissbildung führen.;2003;2003;N/A;Die Verwendung einer falschen Käfigmutter für die Befestigung des Hilfsrahmens an der Karosserie kann zu einer Rissbildung führen.;;;N/A;N/A;N/A;17
1314;R35042;39448;VOLVO;S80, XC90;Kurzschlussgefahr am Kabelbaum kann zum Fahrzeugbrand führen. Betroffen sind nur Modelle mit 6-Zylindermotor.;2005;2006;N/A;Kurzschlussgefahr am Kabelbaum kann zum Fahrzeugbrand führen. Betroffen sind nur Modelle mit 6-Zylindermotor.;;;N/A;N/A;N/A;181
1191;4981;39448;FIAT;ULYSSE;Kondenswasser aus der Klimaanlage kann in das Airbag-Steuergerät eindringen und zum Auslösen der Airbags führen.;2001;2004;N/A;Kondenswasser aus der Klimaanlage kann in das Airbag-Steuergerät eindringen und zum Auslösen der Airbags führen.;;;N/A;N/A;N/A;4413
1201;4824;39448;LANCIA;PHEDRA;Die untere Motorverkleidung kann sich möglicherweise lösen und zu Verkehrsgefährdungen führen.;2001;2004;N/A;Die untere Motorverkleidung kann sich möglicherweise lösen und zu Verkehrsgefährdungen führen.;;;N/A;N/A;N/A;1288
1233;0AJ0;39448;RENAULT;CLIO;Die Kontrollleuchte des Airbagsystems zeigt Fehler im System nicht an.;2003;2005;N/A;Die Kontrollleuchte des Airbagsystems zeigt Fehler im System nicht an.;;;N/A;N/A;N/A;1560
1909;163;39448;MASERATI;QUATTROPORTE;Fehlerhafte Software führt zum Ausfall des Stabilitätsprogramms.;2007;2007;N/A;Fehlerhafte Software führt zum Ausfall des Stabilitätsprogramms.;;;Automatic;N/A;N/A;71
1919;1098, 1098 S;39716;DUCATI;SUPERBIKE 1098;Durch starke Lastwechsel kann es am Hinterrad zum Abreißen des Kettenblattes vom Mitnehmerkranz kommen.;2006;2007;N/A;Durch starke Lastwechsel kann es am Hinterrad zum Abreißen des Kettenblattes vom Mitnehmerkranz kommen.;;;N/A;N/A;N/A;1150
1435;6K1E-199;39448;TOYOTA;RAV4;Rissbildung an den Radspeichen der Stahlfelge aufgrund zu geringer Festigkeit;2001;2004;N/A;Rissbildung an den Radspeichen der Stahlfelge aufgrund zu geringer Festigkeit;;;N/A;N/A;N/A;1676
1651;46;39448;FERRARI;F430;Ein nicht der Spezifikation entsprechender Anschluss am Kupplungszylinder kann zum Verlust von Bremsflüssigkeit führen.;2005;2006;N/A;Ein nicht der Spezifikation entsprechender Anschluss am Kupplungszylinder kann zum Verlust von Bremsflüssigkeit führen.;;;N/A;N/A;N/A;34
1660;5043;39448;FIAT;IDEA;Unzureichend geschweißte Vorderachstraverse kann brechen und zur Beeinträchtigung der Fahrstabilität führen.;2005;2005;N/A;Unzureichend geschweißte Vorderachstraverse kann brechen und zur Beeinträchtigung der Fahrstabilität führen.;;;N/A;N/A;N/A;40
1570;06-C-031;39448;OPEL;MOVANO;Betätigungshebel der hinteren Bremssättel können brechen und zum Lösen der Feststellbremse führen.;2005;2005;N/A;Betätigungshebel der hinteren Bremssättel können brechen und zum Lösen der Feststellbremse führen.;;;N/A;N/A;N/A;696
1576;F17;39448;JEEP;GRAND CHEROKEE;Heizelemente der Sitzheizung können überhitzen;2003;2004;N/A;Heizelemente der Sitzheizung können überhitzen;;;N/A;N/A;N/A;6100
1288;860;39448;JEEP;CHEROKEE;Wassereintritt im Airbag-Steuergerät kann zum Auslösen der Airbags führen.;1997;1999;N/A;Wassereintritt im Airbag-Steuergerät kann zum Auslösen der Airbags führen.;;;N/A;N/A;N/A;670
1360;3CV;39448;HONDA MOTORRAD;VT750;Ausfall des Abblendlichtes wegen schadhafter Stecker;2005;2006;N/A;Ausfall des Abblendlichtes wegen schadhafter Stecker;;;N/A;N/A;N/A;447
1473;6K2M-154;39448;TOYOTA;LAND CRUISER;Zu geringe Materialfestigkeit der Hinterachswellen kann zum Bruch des Flansches und zum Verlust des Rades führen.;1996;1999;N/A;Zu geringe Materialfestigkeit der Hinterachswellen kann zum Bruch des Flansches und zum Verlust des Rades führen.;;;N/A;N/A;N/A;7541
1698;OSB06-4A-101;39448;CHEVROLET;CAPTIVA;Fehlmontage der Druckstange führt zum Ausfall des Hauptbremszylinders und der Bremsanlage.;2007;2007;N/A;Fehlmontage der Druckstange führt zum Ausfall des Hauptbremszylinders und der Bremsanlage.;;;N/A;N/A;N/A;4256
1843;0AVZ;39448;RENAULT;SCENIC;Nicht konforme Schweißverbindung des Lenksäulengelenks kann zum Bruch und zur Unlenkbarkeit führen;2006;2006;N/A;Nicht konforme Schweißverbindung des Lenksäulengelenks kann zum Bruch und zur Unlenkbarkeit führen;;;N/A;N/A;N/A;803
1853;5121;39448;ALFA ROMEO;147, GT, 156;Die Kraftstoffleitung kann am Luftfiltergehäuse reiben und undicht werden. Es sind nur Fahrzeuge mit Dieselmotor 1.9 Multijet 16V betroffen.;2005;2006;N/A;Die Kraftstoffleitung kann am Luftfiltergehäuse reiben und undicht werden. Es sind nur Fahrzeuge mit Dieselmotor 1.9 Multijet 16V betroffen.;;;N/A;N/A;N/A;1043
1580;SB375;39448;TRIUMPH;SPEED TRIPLE, SPRINT ST;Der Bremssattel kann durch Bruch des Arretierungsbolzens der hinteren Bremsankerplatte führungslos werden und sich zwischen Hinterradschwinge und Bremsscheibe verkanten und zum Blockieren des Hinterrades führen.;2006;2006;N/A;Der Bremssattel kann durch Bruch des Arretierungsbolzens der hinteren Bremsankerplatte führungslos werden und sich zwischen Hinterradschwinge und Bremsscheibe verkanten und zum Blockieren des Hinterrades führen.;;;N/A;N/A;N/A;47
1582;PN6A3;39448;NISSAN;INTERSTAR;Betätigungshebel der hinteren Bremssättel können brechen und zum Lösen der Feststellbremse führen;2005;2006;N/A;Betätigungshebel der hinteren Bremssättel können brechen und zum Lösen der Feststellbremse führen;;;N/A;N/A;N/A;80
1795;06-C-052;39448;OPEL;VIVARO;Retraktor des Sicherheitsgurtes verriegelt nicht ordungsgemäß. Dies kann zu größerer Verletzungsgefahr führen.;2006;2007;N/A;Retraktor des Sicherheitsgurtes verriegelt nicht ordungsgemäß. Dies kann zu größerer Verletzungsgefahr führen.;;;N/A;N/A;N/A;201
1803;7C102;39448;FORD;ESCAPE, MAVERICK;Mangelhafte Kabeldichtungen am Stecker des ABS-Moduls können zu Korrosion und Kurzschlüssen führen. Es kann zu einem Brand kommen.;1999;2004;N/A;Mangelhafte Kabeldichtungen am Stecker des ABS-Moduls können zu Korrosion und Kurzschlüssen führen. Es kann zu einem Brand kommen.;;;N/A;N/A;N/A;6000
1779;0AVN;39448;RENAULT;MEGANE, SCENIC;Blockieren des Klimakompressors kann zum Reißen des Antriebsriemens der Servolenkung führen.;2005;2006;N/A;Blockieren des Klimakompressors kann zum Reißen des Antriebsriemens der Servolenkung führen.;;;N/A;N/A;N/A;16810
1786;5141;39448;FIAT;DUCATO;Vereistes Ventil der Abgasrückführung kann zu verminderter Bremskraftunterstützung führen. Es sind nur Ducato 244 mit 2.0 JTD-Motoren und 62 KW Leistung betroffen.;2001;2005;N/A;Vereistes Ventil der Abgasrückführung kann zu verminderter Bremskraftunterstützung führen. Es sind nur Ducato 244 mit 2.0 JTD-Motoren und 62 KW Leistung betroffen.;;;N/A;N/A;N/A;5637
1505;D039;39448;LAND ROVER;RANGE ROVER SPORT;Bei Fahrzeugen mit 19-Zoll-Rädern kann der vordere Bremsschlauch und das Kabel für den Raddrehzahlsensor des ABS am Rad schleifen.;2005;2006;N/A;Bei Fahrzeugen mit 19-Zoll-Rädern kann der vordere Bremsschlauch und das Kabel für den Raddrehzahlsensor des ABS am Rad schleifen.;;;N/A;N/A;N/A;1260
1713;6U060;39448;FORD;TRANSIT;Durch eine unzureichende Verschraubung kann sich ein vorderer Querlenker lösen.;2005;2006;N/A;Durch eine unzureichende Verschraubung kann sich ein vorderer Querlenker lösen.;;;N/A;N/A;N/A;31
1517;4887;39448;FIAT;DUCATO;Federbriden können durch ein zu hohes Anzugsdrehmoment brechen und die Fahrstabilität beeinflussen.;2005;2006;N/A;Federbriden können durch ein zu hohes Anzugsdrehmoment brechen und die Fahrstabilität beeinflussen.;;;N/A;N/A;N/A;764
1529;6U049;39448;FORD;S-MAX, GALAXY;Kraftstoffleitung kann sich von der Kraftstoffpumpe lösen.;2006;2006;N/A;Die Kraftstoffleitung kann sich von der Kraftstoffpumpe lösen, so dass Kraftstoff ausfließt. Die Schläuche der Servolenkung und des Kältemittels der Klimaanlage können aneinander scheuern und beschädigt  werden. Durch eine Modifikation des Kabelstranges am Generator soll ein möglicher Kurzschluss vermieden werden.;;;N/A;N/A;N/A;460
2078;R87094;39559;VOLVO;V70, XC70;Ein Software Fehler des SRS-Systems führt  dazu, dass der Kopf-/Schulterairbag und/oder die Seitenairbags (SIPS) nicht wie vorgesehen  auslöst und die SRS Warnlampe aktiviert und eine SRS Meldung anzeigt.;2008;2008;N/A;Ein Software Fehler des SRS-Systems führt  dazu, dass der Kopf-/Schulterairbag und/oder die Seitenairbags (SIPS) nicht wie vorgesehen  auslöst und die SRS Warnlampe aktiviert und eine SRS Meldung anzeigt.;;;N/A;N/A;N/A;18
1998;5244;39448;LANCIA;MUSA;Ein unzureichender Hitzeschutz am Partikelfilter kann den Tank beschädigen.;2006;2007;N/A;Ein unzureichender Hitzeschutz am Partikelfilter kann den Tank beschädigen.;;;N/A;N/A;N/A;193
2100;5269;39506;FIAT;DUCATO;Durch eine neue Softwareversion wird sichergestellt, dass sich die Begrenzungsleuchten beim Einschalten der Parkleuchte über den Lenkstockschalter auch ohne eingeschaltete Zündung einschalten.;2007;2007;N/A;Durch eine neue Softwareversion wird sichergestellt, dass sich die Begrenzungsleuchten beim Einschalten der Parkleuchte über den Lenkstockschalter auch ohne eingeschaltete Zündung einschalten.;;;N/A;N/A;N/A;249
2106;N/A;39559;VW;PASSAT, TOUAREG;Der Ölpumpenantrieb kann beim Kaltstart überlastet werden. Der Motor setzt aus und das Fahrzeug bleibt stehen. Betroffen sind Fahrzeuge mit 3,2l- und 3,6l-Motoren.;2006;2007;N/A;Der Ölpumpenantrieb kann beim Kaltstart überlastet werden. Der Motor setzt aus und das Fahrzeug bleibt stehen. Betroffen sind Fahrzeuge mit 3,2l- und 3,6l-Motoren.;;;N/A;N/A;N/A;500
2107;3DM;39563;HONDA MOTORRAD;TRX500;Wassereintritt in der Nähe der Drosselklappensensor;2007;2007;N/A;Wasser kann zu einer Korrosion am Drosselklappensensor führen. Dadurch kann es zur Fehlinterpretation der Drosselklappenstellung und zur Sperrung der Schaltung kommen. Die Motordrehzahl geht bei Kälte beim Loslassen des Gashebels nicht auf Leerlaufdrehzahl zurück.;;;N/A;N/A;N/A;15
1934;SORENTO Executive-Felge;39448;KIA;SORENTO;Die Speichen der Leichmetallräder des Herstellers CRD (Executive-Felge) können Anrisse bekommen und brechen.;2004;2005;N/A;Die Speichen der Leichmetallräder des Herstellers CRD (Executive-Felge) können Anrisse bekommen und brechen.;;;N/A;N/A;N/A;830
2006;G40;39448;JEEP;WRANGLER, GRAND CHEROKEE, COMMANDER;Neuprogrammierung des Elektronischen Bremsen-Steuergeräts (EBC)  wegen unzureichender Bremswirkung des Fahrzeugs;2006;2007;N/A;Neuprogrammierung des Elektronischen Bremsen-Steuergeräts (EBC)  wegen unzureichender Bremswirkung des Fahrzeugs;;;N/A;N/A;N/A;7403
2003;5252;39448;FIAT;GRANDE PUNTO;Durch eine fehlerhafte Senkung der Welle der Lenksäule kann die Verbindung zum Kardangelenk verloren gehen und das Fahrzeug unlenkbar werden.;2006;2006;N/A;Durch eine fehlerhafte Senkung der Welle der Lenksäule kann die Verbindung zum Kardangelenk verloren gehen und das Fahrzeug unlenkbar werden.;;;N/A;N/A;N/A;3381
2038;R57076;39980;VOLVO;S40, V50, C30;Verminderte Bremsleistung durch Ausfall der Unterdruckpumpe zur Bremskraftverstärkung.;2006;2007;N/A;Verminderte Bremsleistung durch Ausfall der Unterdruckpumpe zur Bremskraftverstärkung.;;;N/A;N/A;N/A;7173
2082;G39;39525;CHRYSLER;SEBRING;Kühlmitteleintritt in den Steckverbinder des linken Kühlerlüftermotors;2007;2008;N/A;Es besteht die Möglichkeit, dass Kühlmittel in den Steckverbinder des linken Kühlerlüftermotors eindringt. Dies kann zu einem elektrischen Kurzschluss und als Folge daraus zu einem Brand im Motorraum führen. Es sind nur Fahrzeuge mit 2,0 l- und 2,4 l-Benzinmotor oder 2,0 l-Dieselmotor betroffen.;;;N/A;N/A;N/A;878
1622;LEITUNG-LL;39448;MERCEDES-BENZ;VITO, VIANO;Unzureichend verlegter Starterleitungssatz kann am Auspuffkrümmer scheuern und zum Ausfall der Bordelektrik und im ungünstigsten Fall zum Brand führen.;2006;2006;N/A;Unzureichend verlegter Starterleitungssatz kann am Auspuffkrümmer scheuern und zum Ausfall der Bordelektrik und im ungünstigsten Fall zum Brand führen.;;;N/A;N/A;N/A;1122
1626;5EP;39448;HONDA;CIVIC;Fehler im Steuergerät kann zum Ausfall der Servounterstützung für die Lenkung führen.;2006;2006;N/A;Fehler im Steuergerät kann zum Ausfall der Servounterstützung für die Lenkung führen.;;;N/A;N/A;N/A;3087
1628;F23;39448;JEEP;CHEROKEE;Kugelgelenke der vorderen Radaufhängung können sich lösen und zum Verlust der Lenkbarkeit führen.;2002;2006;N/A;Kugelgelenke der vorderen Radaufhängung können sich lösen und zum Verlust der Lenkbarkeit führen.;;;N/A;N/A;N/A;7938
2066;N/A;39559;YAMAHA;MT-03;Wegen eines zu geringen Abstandes zum Schalldämpfer kann die Schalldämpferabdeckung schmelzen.;2007;2008;N/A;Wegen eines zu geringen Abstandes zum Schalldämpfer kann die Schalldämpferabdeckung schmelzen.;;;N/A;N/A;N/A;406
5032;N130239, CRB14-R1-001;41989;CHEVROLET;VOLT;Tagfahrlicht schaltet sich in bestimmten Fahrzuständen nicht ein.;2012;2013;N/A;Tagfahrlicht schaltet sich in bestimmten Fahrzuständen nicht ein.;N/A;Software-Aktualisierung des Karosserie-Steuergerätes.;N/A;N/A;N/A;55
4567;4KET-024;41696;TOYOTA;PRIUS;Ein technischer Defekt im Intelligent Power Module (IPM) führt zu Notlaufprogramm oder Antriebsausfall.;2009;2014;N/A;Ein technischer Defekt im Intelligent Power Module (IPM) führt zu Notlaufprogramm oder Antriebsausfall.;N/A;Neuprogrammierung des Antriebsmotor- und Power Management ¿ Steuerungscomputers.;N/A;N/A;1900000;13003
2214;0B0N, 0B0A, 0B0B;39604;RENAULT;KANGOO;Unzureichende Positionierung des Lenksäulengelenks am Zapfen des Lenkgetriebes sowie ggf.Austausch der vorderen und hinteren Sicherheitsgurte.;2007;2008;N/A;Unzureichende Positionierung des Lenksäulengelenks am Zapfen des Lenkgetriebes sowie ggf.Austausch der vorderen und hinteren Sicherheitsgurte.;;;N/A;N/A;N/A;4331
2135;07204b;39559;CADILLAC;SRX, STS-V, CTS, CTS-V, STS;Das Antriebsachsdifferential kann undicht werden. Der Ölverlust führt zu Geräuschen in den Lagern und im Extremfall zum Blockieren der Räder. Ein Kontrollverlust über das Fahrzeug ist möglich.;2005;2007;N/A;Das Antriebsachsdifferential kann undicht werden. Der Ölverlust führt zu Geräuschen in den Lagern und im Extremfall zum Blockieren der Räder. Ein Kontrollverlust über das Fahrzeug ist möglich.;;;N/A;N/A;N/A;156
2137;07204b;39560;SATURN;SKY;Das Antriebsachsdifferential kann undicht werden. Der Ölverlust führt zu Geräuschen in den Lagern und im Extremfall zum Blockieren der Räder. Ein Kontrollverlust über das Fahrzeug ist möglich.;2005;2007;N/A;Das Antriebsachsdifferential kann undicht werden. Der Ölverlust führt zu Geräuschen in den Lagern und im Extremfall zum Blockieren der Räder. Ein Kontrollverlust über das Fahrzeug ist möglich.;;;N/A;N/A;N/A;156
2142;5277;39547;FIAT;PANDA;Die hinteren Gurtschlösser können sich ungewollt öffnen.;2008;2008;N/A;Die hinteren Gurtschlösser können sich ungewollt öffnen.;;;N/A;N/A;N/A;7
2200;47;39619;FERRARI;612 SCAGLIETTI;Aufgrund einer Nichtkonformität des Kupplungssensors kann das Schalten der Gänge unmöglich werden und das Fahrzeug zum Stillstand kommen.;2004;2007;N/A;Aufgrund einer Nichtkonformität des Kupplungssensors kann das Schalten der Gänge unmöglich werden und das Fahrzeug zum Stillstand kommen.;;;N/A;N/A;N/A;250
2109;N/A;39563;HONDA;CR-V;Aufgrund fehlerhafter Dimensionierung und falscher Materialbeschaffenheit der Klemme zwischen Kabelbaum und Abblendlichtlampe kann das Abblendlicht ausfallen.;2007;2007;N/A;Aufgrund fehlerhafter Dimensionierung und falscher Materialbeschaffenheit der Klemme zwischen Kabelbaum und Abblendlichtlampe kann das Abblendlicht ausfallen.;;;N/A;N/A;N/A;3608
2117;F50;39448;DODGE;CALIBER, NITRO;Falsch programmiertes ABS-Steuergerät kann zum Blockieren der Hinterradbremse führen.;2007;2007;N/A;Falsch programmiertes ABS-Steuergerät kann zum Blockieren der Hinterradbremse führen.;;;N/A;N/A;N/A;684
2118;F50;39448;JEEP;PATRIOT, COMPASS, CHEROKEE, WRANGLER, COMMANDER, GRAND CHEROKEE;Falsch programmiertes ABS-Steuergerät kann zum Blockieren der Hinterradbremse führen.;2007;2007;N/A;Falsch programmiertes ABS-Steuergerät kann zum Blockieren der Hinterradbremse führen.;;;N/A;N/A;N/A;684
2184;PG8A2, R0804;39622;NISSAN;QASHQAI, X-TRAIL;Durch das mögliche Fehlen des Nadellagers an der Lenksäule und/oder einer unzureichend angezogenen Abdeckschraube kommt es zu Geräuschen in der Lenkung und letzlich könnte es zum Verlust der Lenkbarkeit kommen.;2006;2007;N/A;Durch das mögliche Fehlen des Nadellagers an der Lenksäule und/oder einer unzureichend angezogenen Abdeckschraube kommt es zu Geräuschen in der Lenkung und letzlich könnte es zum Verlust der Lenkbarkeit kommen.;;;N/A;N/A;N/A;8115
2230;0000346800;40002;BMW MOTORRAD;F800GS;Der vordere Bremssattel wurde möglicherweise nicht mit dem ausreichenden Anzugsdrehmoment befestigt. Durch das Lockern des Bremssattels kann es zum Blockieren des Vorderrades kommen.;2007;2008;N/A;Der vordere Bremssattel wurde möglicherweise nicht mit dem ausreichenden Anzugsdrehmoment befestigt. Durch das Lockern des Bremssattels kann es zum Blockieren des Vorderrades kommen.;;;N/A;N/A;N/A;100
2270;5492133;40126;MERCEDES-BENZ;C-KLASSE, E-KLASSE, GLA, CLA, GLK, B-KLASSE, A-KLASSE, GLC;Bei Werkstattaufenthalten wurden Software-Kalibrierungsnummern falsch kodiert. Dadurch kann es zur Fehlfunktion verschiedener Fahrzeugsteuer- und überwachungssysteme kommen.;2003;2008;N/A;Bei Werkstattaufenthalten wurden Software-Kalibrierungsnummern falsch kodiert. Dadurch kann es zur Fehlfunktion verschiedener Fahrzeugsteuer- und überwachungssysteme kommen.;;;N/A;N/A;N/A;435
3292;1C381;40644;FORD;MONDEO, S-MAX, GALAXY;Aufgrund von Softwarefehlern in einem Fahrzeugmodul kann es zu unterschiedlichen Fehlfunktionen in der Bordelektronik kommen. Dies kann z.B. dazu führen, dass Scheinwerfer oder Blinker ungewollt aufleuchten und/oder Scheinwerfer selbsttätig abschalten.;2010;2010;N/A;Aufgrund von Softwarefehlern in einem Fahrzeugmodul kann es zu unterschiedlichen Fehlfunktionen in der Bordelektronik kommen. Dies kann z.B. dazu führen, dass Scheinwerfer oder Blinker ungewollt aufleuchten und/oder Scheinwerfer selbsttätig abschalten.;N/A;Software-Update des BCMii-Modules.;N/A;N/A;30000;9884
2960;0B76;40358;RENAULT;KANGOO;Mögliches Lösen des vorderen Bremsschlauchs aus dem Anschlussstück aufgrund von unzureichender Länge;2009;2009;N/A;Mögliches Lösen des vorderen Bremsschlauchs aus dem Anschlussstück aufgrund von unzureichender Länge;N/A;Als vorbeugende Maßnahme werden beide Bremsschläuche vorne ausgetauscht.;N/A;N/A;9815;1124
3536;97W5;40850;VW;POLO;Durch fehlerhafte Leitungsbelegung kann es zum Auslösen der gegenüberliegenden hinteren Kopfairbags und zum verzögerten Auslösen kommen. Betroffen sind Rechtslenkerfahrzeuge.;2002;2009;N/A;Durch fehlerhafte Leitungsbelegung kann es zum Auslösen der gegenüberliegenden hinteren Kopfairbags und zum verzögerten Auslösen kommen. Betroffen sind Rechtslenkerfahrzeuge.;N/A;An allen betroffenen Fahrzeugen muss die Leitungsbelegung am Stecker für das Airbagsteuergerät nach Arbeitsanleitung korrigiert werden.;N/A;N/A;56630;29
4722;5824;41809;FIAT;DUCATO;Risse in Injektor-Rücklaufleitung kann zum Austritt von Kraftstoff führen.;2014;2014;N/A;Risse in Injektor-Rücklaufleitung kann zum Austritt von Kraftstoff führen.;N/A;Die Diesel Rücklaufleitung der Injektoren wird ersetzt.;N/A;N/A;3456;1336
2729;SCHRAUBOEL;40155;MERCEDES-BENZ;SPRINTER;Durch eine nicht erfolgte Fixierung des Kabelkanals für die Startergeneratorleitung kann sich der Kabelkanal bei einem Crash lösen, sodass es zu einem Kurzschluss kommen kann.;2009;2009;N/A;Durch eine nicht erfolgte Fixierung des Kabelkanals für die Startergeneratorleitung kann sich der Kabelkanal bei einem Crash lösen, sodass es zu einem Kurzschluss kommen kann.;;;N/A;N/A;N/A;303
3846;5654;41144;LANCIA;THEMA;Falsch ausgelegte elektrische Absicherung kann zum Ausfall von ABS/ESC führen.;2010;2011;N/A;Falsch ausgelegte elektrische Absicherung kann zum Ausfall von ABS/ESC führen.;N/A;Überprüfung der ABS/ESC-Sicherung und ggf. Ersatz.;N/A;N/A;3795;371
4102;MUM, NCW, NCY, NCZ;41368;CITROEN;C-ZERO;Elektrische Vakuumpumpe der Bremskraftverstärkung kann ausfallen.;2010;2014;N/A;Elektrische Vakuumpumpe der Bremskraftverstärkung kann ausfallen.;N/A;Die Steuerungssoftware der Pumpe wird aktualisiert und ggf. das Steuerrelais getauscht.;N/A;N/A;1587;169
3218;0034870100;40592;ALPINA;BMW ALPINA B5, BMW ALPINA B6S, BMW ALPINA B7, BMW ALPINA B5S, BMW ALPINA B6;In den Bremskraftverstärker eingedrungenes Motoröl kann die Membran so weit schädigen, dass die Bremskraftunterstützung ausfällt.;2004;2010;N/A;In den Bremskraftverstärker eingedrungenes Motoröl kann die Membran so weit schädigen, dass die Bremskraftunterstützung ausfällt.;N/A;Die Bremsunterdruckleitung wird ersetzt. Sollte am Bremskraftverstärker ein Öleintrag vorliegen, werden weitere Teile des Bremssystems ersetzt.;N/A;N/A;N/A;689
4802;12261;41864;CHEVROLET;CRUZE, CAMARO, SONIC;Fehler im Airbag kann zu dessen Ausfall führen. Die Fehlfunktion wird durch die Airbagkontrollleuchte angezeigt.;2011;2012;N/A;Fehler im Airbag kann zu dessen Ausfall führen. Die Fehlfunktion wird durch die Airbagkontrollleuchte angezeigt.;N/A;Die Fahrerairbagspule wird ersetzt, wodurch der Kontakt zwischen Kurzschlussbügel und Airbaganschlüssen beseitigt wird.;N/A;N/A;36012;59
4852;4KET-639-1;41901;TOYOTA;VERSO;Kraftstoff kann durch Entlüftungsbohrung im Kraftstofffilteroberteil austreten und zu einem Fahrzeugbrand führen.;2014;2014;N/A;Kraftstoff kann durch Entlüftungsbohrung im Kraftstofffilteroberteil austreten und zu einem Fahrzeugbrand führen.;N/A;Austausch des Kraftstofffilters.;N/A;N/A;8082;962
2718;T1NSPIEGEL;40140;MERCEDES-BENZ;SPRINTER;Im Falle einer Reparatur kann ein Außenspiegelglas mit zu kleinem Sichtfeld montiert worden sein, das nicht den Zulassungsvorschriften entspricht.;1999;2004;N/A;Im Falle einer Reparatur kann ein Außenspiegelglas mit zu kleinem Sichtfeld montiert worden sein, das nicht den Zulassungsvorschriften entspricht.;;;N/A;N/A;N/A;9531
4481;SB508;41649;TRIUMPH;TROPHY 1215, TROPHY 1215 SE;Unzureichende Befestigung des Zentralständers kann zum Umfallen des Motorrades führen.;2013;2013;N/A;Unzureichende Befestigung des Zentralständers kann zum Umfallen des Motorrades führen.;N/A;Die linke Halterung des Hauptständers muss ausgetauscht werden.;N/A;N/A;1738;190
