Type of alert;Type;Alert number;Alert submitted by;Country of origin;Counterfeit;Risk type;Risk legal provision;Product;Name;Description;Brand;Category;Type / number of model;OECD Portal category;Risk;Compulsory measures;Voluntary measures;Products were found and measures were taken also in;Company recall page;Barcode;Batch number;Company recall code (**);Production dates (**);Packaging description
Serious risk;Consumer;A12/01708/22;Germany;Italy;No;Injuries;The product does not comply with the Regulation on the approval and market surveillance of two- or three-wheel vehicles and quadricycles..;Motorcycle;Hypermotard 939, Hyperstrada 939 ;"Motorcycle, Hypermotard 939 Model Year 2016-2018, Hyperstrada 939 Model Year 2016-2017							";Ducati;Motor vehicles;BA, e49*168/2013*00008*00-*01, e49*168/2013*00012*00-*01;77000000 - Automotive;Oil may leak onto the rear wheel. This can create a risk of an accident.;;"Type of economic operator taking notified measure(s): Manufacturer
Category of measure(s): Recall of the product from end users
Date of entry into force: Unknown";France, Croatia, Sweden;"https://www.ducati.com/de/de/service-wartung/recall-campaign							";;;"CR238							";3.3.2015 - 12.7.2018;
Serious risk;Consumer;A12/01450/22;Germany;Germany;No;Fire;"The product does not comply with the Regulation on the approval and market surveillance of motor vehicles and their trailers, and of systems, components and separate technical units intended for such vehicles.							
";Passenger car;i3;Passenger car;Bmw;Motor vehicles;BMWi-1, e1*2007/46*1213;77000000 - Automotive;Faulty production of high-voltage batteries may lead to that high voltage cell modules can overheat, increasing the risk of fire.;;"Type of economic operator taking notified measure(s): Manufacturer
Category of measure(s): Recall of the product from end users
Date of entry into force: Unknown";Bulgaria, Denmark, Finland, France, Hungary, The Netherlands, Norway, Poland, Portugal, Sweden, Slovenia;https://www.bmw.de/de/topics/service-zubehoer/bmw-service/rueckrufe.html;;;"0061150700							";26.10.2018 - 31.08.2021;
Serious risk;Consumer;A12/01494/22;Germany;Slovakia;No;Injuries;"The product does not comply with the Regulation on the approval and market surveillance of motor vehicles and their trailers, and of systems, components and separate technical units intended for such vehicles.							
";Passenger car;208, 2008;Passenger car;Peugeot;Motor vehicles;U, e2*2007/46*0639*18, e2*2007/46*0639*19;77000000 - Automotive;Improper torque on wheel/axle connection may lead to the loss of connection between a wheel and the axle (front and rear), or a rupture of the rear brake line/hose or an unexpected opening of a door while driving can occur, increasing the risk of injury.;;"Type of economic operator taking notified measure(s): Manufacturer
Category of measure(s): Recall of the product from end users
Date of entry into force: Unknown";France, The Netherlands;"https://www.peugeot.de/tools/pruefung-ihres-fahrzeugs-auf-rueckrufaktionen.html							";;;MB2;02.04.2022 - 04.04.2022;
Serious risk;Consumer;A12/01449/22;Germany;Italy;No;Fire;"The product does not comply with the Regulation on the approval and market surveillance of motor vehicles and their trailers, and of systems, components and separate technical units intended for such vehicles.							
";Passenger car;Fiat 500;Fiat 500 1.0 Hybrid vehicles;Fiat;Motor vehicles;312, e3*2007/46*0064*64;77000000 - Automotive;"Risk of fire due to a broken circuit in the electrical connection of the auxiliary battery. This can occur especially during fast acceleration or braking (the message: ""Hybrid system malfunction"" will appear). ";;"Type of economic operator taking notified measure(s): Manufacturer
Category of measure(s): Recall of the product from end users
Date of entry into force: Unknown";Greece, Hungary, Portugal;;;;6500;26.01.2022 - 03.06.2022;
Serious risk;Consumer;A12/01510/22;France;France;No;Injuries;The product does not comply with the Regulation on the approval and market surveillance of motor vehicles and their trailers, and of systems, components and separate technical units intended for such vehicles.;Passenger car;Zafira / Vivaro (K0);Passenger car;Opel;Motor vehicles;e2*2007/46*0533*20;77000000 - Automotive;The screws in the vehicle steering box may have been improperly tightened, which can result in a loss of steering control, increasing the risk of an accident.;;"Type of economic operator taking notified measure(s): Manufacturer
Category of measure(s): Recall of the product from end users
Date of entry into force: 22/07/2022";Poland;;;;KBY;44622;
Serious risk;Consumer;A12/01509/22;France;France;No;Injuries;The product does not comply with the Regulation on the approval and market surveillance of motor vehicles and their trailers, and of systems, components and separate technical units intended for such vehicles.;Passenger car;Spacetourer / Jumpy 4 (K0);Passenger car;Citroën;Motor vehicles;e2*2007/46*0531*20;77000000 - Automotive;The screws in the vehicle steering box may have been improperly tightened, which can result in a loss of steering control, increasing the risk of an accident.;;"Type of economic operator taking notified measure(s): Manufacturer
Category of measure(s): Recall of the product from end users
Date of entry into force: 22/07/2022";;;;;JHE;2.03.2022 - 2.03.2022;
Serious risk;Consumer;A12/01512/22;Germany;Germany;No;Injuries;"The product does not comply with the Regulation on the approval and market surveillance of motor vehicles and their trailers, and of systems, components and separate technical units intended for such vehicles.							
";Passenger car;SL-Class, Mercedes-AMG SL 55 4MATIC+, Mercedes-AMG SL 63 4MATIC+, SL 43;Passenger car, Mercedes-Benz AG, SL (BR 232);Mercedes-AMG;Motor vehicles;R1SLAMG, e1*2018/858*00137*00, e1*2018/858*00137*01;77000000 - Automotive;The roof frame panel above the windscreen might be insufficiently attached to the vehicle and could become detached from the vehicle in motion, creating a risk of an accident.;;"Type of economic operator taking notified measure(s): Manufacturer
Category of measure(s): Recall of the product from end users
Date of entry into force: Unknown";Bulgaria, Denmark, Finland, France, Hungary, Luxembourg, The Netherlands, Norway, Poland, Portugal, Romania, Sweden;https://www.mercedes-benz.de/;;;"6590006							";"30.06.2021 - 27.06.2022			";
Serious risk;Consumer;A12/01511/22;Germany;Germany;No;Injuries;The product does not comply with the Regulation on the approval and market surveillance of motor vehicles and their trailers, and of systems, components and separate technical units intended for such vehicles.;Passenger car;C-Class;Passenger car;Mercedes-Benz;Motor vehicles;"R2CW, e1*2018/858*00016*00; e1*2018/858*00016*01; e1*2018/858*00016*02";77000000 - Automotive;Improperly connected layers of the windscreen could lead to its delamination in the event of an accident. Moreover, glass splinters could break free and impair the support of the passenger airbag. ;;"Type of economic operator taking notified measure(s): Manufacturer
Category of measure(s): Recall of the product from end users
Date of entry into force: Unknown";Denmark, The Netherlands, Poland, Romania, Sweden;https://www.mercedes-benz.de;;;6790005;1.07.2021 - 4.12.2021;
Serious risk;Consumer;A12/01499/22;Bulgaria;Belgium;No;Injuries;The product does not comply with the Regulation on the approval and market surveillance of motor vehicles and their trailers, and of systems, components and separate technical units intended for such vehicles. ;Passenger car;Aygo X   /   bZ4X;Passenger car;Toyota;Motor vehicles;e6*2018/858*00060*00  KGB70 (Aigo X)    XEAM10, YEAM15 (bZ4X) , e6*2018/858*00144*00;77000000 - Automotive;Defective straps could affect the proper deployment of the front portion of the Curtain Shield Airbags, which may cause and fail to prevent injuries in the event of an accident. ;;"Type of economic operator taking notified measure(s): Importer
Category of measure(s): Recall of the product from end users
Date of entry into force: Unknown";Denmark, Finland, France, Croatia, Hungary, The Netherlands, Poland, Sweden, Slovenia, Slovakia;;;;22SMD-091;" 02.11.2021 - 15.06.2022
 06.03.2022 - 05.04.2022";
Serious risk;Consumer;A12/01502/22;Bulgaria;Belgium;No;Injuries;The product does not comply with the Regulation on the approval and market surveillance of motor vehicles and their trailers, and of systems, components and separate technical units intended for such vehicles.;Passenger car;Aygo X;Passenger car ;Toyota;Motor vehicles;e6*2018/858*00060*00 KGB70;77000000 - Automotive;The wrong brake pedal was installed leaving the gap between the clutch pedal and the brake pedal too narrow. The brake pedal may therefore be accidentally depressed while gear shifting, resulting in unintentional brake activation.;;"Type of economic operator taking notified measure(s): Importer
Category of measure(s): Recall of the product from end users
Date of entry into force: Unknown";France, Greece, Hungary, Iceland, The Netherlands, Poland;;;;22SMD-090;24.02.2022 - 03.04.2022;
Serious risk;Consumer;A12/01517/22;Portugal;Belgium;No;Environment;The product does not comply with the Regulation on the approval and market surveillance of motor vehicles and their trailers, and of systems, components and separate technical units intended for such vehicles.;Passenger van / Light commercial vehicle;Proace;Passenger van / Light commercial vehicle;Toyota;Motor vehicles;MPY121, MPY141, MPY161, MPY521, MPY541, MPY561, MPYA21, MPYA41, MPYA61, e2*2007/46*0537*15;77000000 - Automotive;"The urea (Adblue) injection system may not function in low ambient temperature when the urea is frozen, due to insufficient performance of the heater inside the urea reservoir. As a result, there is a risk of vehicle emission levels to be
temporary out of regulatory limits.";;"Type of economic operator taking notified measure(s): Importer
Category of measure(s): Recall of the product from end users
Date of entry into force: Unknown";Bulgaria, Finland, France, Croatia, Hungary, Iceland, Poland, Sweden, Slovenia, Slovakia;;;;CI22-034;"11/12/2020 - 20/04/2021; 30/11/2020 - 21/04/2021; 11/12/2020 - 26/03/2021; 30/11/2020 - 20/04/2021; 30/11/2020 - 19/04/2021";
Serious risk;Consumer;A12/01597/22;Poland;Republic of Korea;Unknown;Injuries;The product does not comply with the Regulation on the approval and market surveillance of motor vehicles and their trailers, and of systems, components and separate technical units intended for such vehicles.;Passenger car;Sorento (UM), Carnival (YP);Passenger car;Kia;Motor vehicles;e4*2007/46*0894*01;77000000 - Automotive;The shift lever (gearbox) may have been assembled incorrectly, not locking the gears properly. This can allow the vehicle to roll unintentionally, increasing the risk of an accident.;;"Type of economic operator taking notified measure(s): Manufacturer
Category of measure(s): Recall of the product from end users
Date of entry into force: Unknown";Bulgaria, Estonia, Finland, Hungary, Luxembourg, The Netherlands, Portugal, Romania, Sweden, Slovenia, Slovakia;;;;221103;04/2015 - 07/2015;
Serious risk;Consumer;A12/01547/22;Germany;Italy;No;Injuries;The product does not comply with the Regulation on the approval and market surveillance of motor vehicles and their trailers, and of systems, components and separate technical units intended for such vehicles.;Vehicle parts / Replacement wheels;"Scuderia 1775							";Wheels for cars;ESSERUOTE;Motor vehicles;(ABE) KBA 53204;77000000 - Automotive;The rods of the wheels can brake, leading to a loss of control over the vehicle, creating a risk of an accident.;"Type of economic operator to whom the measure(s) were ordered: Manufacturer
Category of measure(s): Recall of the product from end users
Date of entry into force: 17/09/2022";;;;;;;1.11.2019 - 21.06.2022;
Serious risk;Consumer;A12/01596/22;Portugal;Belgium;No;Injuries;The product does not comply with the Regulation on the approval and market surveillance of motor vehicles and their trailers, and of systems, components and separate technical units intended for such vehicles.;Passenger car;Aygo X;Passenger car;Toyota;Motor vehicles;e6*2018/858*00060*00;77000000 - Automotive;The break booster may malfunction, leading to an increased stopping distance, which creates a risk of an accident.;;"Type of economic operator taking notified measure(s): Importer
Category of measure(s): Recall of the product from end users
Date of entry into force: Unknown";Germany, Denmark, Finland, France, Greece, Croatia, Hungary, Iceland, The Netherlands, Norway, Poland, Romania, Sweden, Slovenia, Slovakia;;;;22SMD-101;30.06.2022 - 22.08.2022;
Serious risk;Consumer;A12/01568/22;Germany;South Africa;No;Injuries;The product does not comply with the Regulation on the approval and market surveillance of motor vehicles and their trailers, and of systems, components and separate technical units intended for such vehicles.;Pickup truck;Ranger;Pickup truck;Ford;Motor vehicles;2AB, e5*2007/46*0080*09;77000000 - Automotive;The steering column may become detached from the intermediate steering shaft because of a loose bolt, resulting in loss of steering and increasing the risk of an accident.;;"Type of economic operator taking notified measure(s): Manufacturer
Category of measure(s): Recall of the product from end users
Date of entry into force: Unknown";Denmark, Finland, France, Greece, Croatia, Ireland, Iceland, The Netherlands, Poland, Romania, Sweden, Slovenia, Slovakia;https://www.fordtechservice.dealerconnection.com/;;;22S64;12.01.2022 - 17.09.2022;
Serious risk;Consumer;A12/01578/22;Germany;France;No;Injuries;The product does not comply with the Regulation on the approval and market surveillance of motor vehicles and their trailers, and of systems, components and separate technical units intended for such vehicles.;Trailer;Oblic+4, Oblic+3, Oblic+2, Promax E3, Provan, JMS H, Imara, Nuno H;Trailer;Fautras, St Georges;Motor vehicles;2E, e4*2007/46*0028*06;77000000 - Automotive;The wheel bolts may have been tightened with insufficient tightening torque and incompatible wheel bolts may have been used. As a result, the wheel may become detached from the vehicle, increasing the risk of an accident.;;"Type of economic operator taking notified measure(s): Manufacturer
Category of measure(s): Recall of the product from end users
Date of entry into force: Unknown";;https://www.fautras.com;;;Bolts;01.11.2021 - 09.09.2022;
Serious risk;Consumer;A12/01577/22;Germany;Germany;No;Injuries;The product does not comply with the Regulation on the approval and market surveillance of motor vehicles and their trailers, and of systems, components and separate technical units intended for such vehicles.;Mobile home/camper van;"Contura, Profila T							";Mobile home/camper van;Eura Mobil;Motor vehicles;136, e13*2007/46*2420*01, e13*2007/46*2420*02, e13*2007/46*2420*03, e13*2007/46*2420*04, e13*2007/46*2420*05;77000000 - Automotive;Due to insufficient tightening, the rotary-console (a control knob in the console) screw connections can become loose, increasing the risk of an accident.;;"Type of economic operator taking notified measure(s): Manufacturer
Category of measure(s): Recall of the product from end users
Date of entry into force: Unknown";Bulgaria, Denmark, Poland, Sweden;;;;1023;24.08.2021 - 31.08.2022;
Serious risk;Consumer;A12/01595/22;Portugal;Republic of Korea;No;Fire;The product does not comply with the Regulation on the approval and market surveillance of motor vehicles and their trailers, and of systems, components and separate technical units intended for such vehicles.;Passenger car;Santa Fe (DM);Passenger car;Hyundai;Motor vehicles;e11*2007/46*0633*06;77000000 - Automotive;The Anti-lock Brake System (ABS) modules can develop an internal electrical short circuit, which may increase the risk of fire in the engine compartment.;;"Type of economic operator taking notified measure(s): Importer
Category of measure(s): Recall of the product from end users
Date of entry into force: Unknown";Bulgaria, Germany, Denmark, Finland, France, Croatia, Hungary, Ireland, The Netherlands, Poland, Sweden, Slovenia;;;;21D023;05.03.2015 – 12.02.2018;
Serious risk;Consumer;A12/01594/22;Portugal;Republic of Korea;No;Injuries;The product does not comply with the Regulation on the approval and market surveillance of motor vehicles and their trailers, and of systems, components and separate technical units intended for such vehicles.;Passenger car;Kauai / Kona (OS);"Passenger car.
";Hyundai;Motor vehicles;e4*2007/46*1259*01;77000000 - Automotive;Fuel filter paper can flow into and damage the high-pressure pump which can cause the engine to shut down, increasing the risk of an accident;;"Type of economic operator taking notified measure(s): Importer
Category of measure(s): Recall of the product from end users
Date of entry into force: Unknown";Bulgaria, Denmark, Finland, France, Greece, Croatia, Hungary, Ireland, The Netherlands, Poland, Romania, Slovenia;;;;21D091;29.03.2018 – 8.10.2021;
Serious risk;Consumer;A12/01593/22;Portugal;Czechia;No;Injuries;The product does not comply with the Regulation on the approval and market surveillance of motor vehicles and their trailers, and of systems, components and separate technical units intended for such vehicles.;Passenger car;IX35 (EL);"Passenger car. 
";Hyundai;Motor vehicles;e11*2007/46*0192*06;77000000 - Automotive;The Anti-lock Brake System (ABS) modules can develop an internal electrical short circuit, which may increase the risk of fire in the engine compartment.;;"Type of economic operator taking notified measure(s): Importer
Category of measure(s): Recall of the product from end users
Date of entry into force: Unknown";Bulgaria, Denmark, Estonia, Finland, France, Croatia, Hungary, Ireland, The Netherlands, Poland, Romania, Slovenia;;;;21DC11;05.06.2013 – 25.06.2015;
Serious risk;Consumer;A12/01606/22;Portugal;Sweden;No;Injuries;The product does not comply with the Regulation on the approval and market surveillance of motor vehicles and their trailers, and of systems, components and separate technical units intended for such vehicles.;Passenger car;S60, V60, XC60, S90, V90, XC90, S90L.;Passenger car, plug-in hybrid vehicle.;Volvo;Motor vehicles;"e4*2007/46*0929; e4*2007/46*1315; e4*2007/46*1220; e4*2007/46*1067";77000000 - Automotive;The combustion engine may not start, leaving only the high voltage battery to drive on. This can drain the battery and lead to a loss of propulsion when driving, increasing the risk of an accident.;;"Type of economic operator taking notified measure(s): Distributor
Category of measure(s): Recall of the product from end users
Date of entry into force: 22/10/2022";Bulgaria, Denmark, Estonia, Finland, Greece, Hungary, Ireland, Luxembourg, The Netherlands, Norway, Poland, Sweden, Slovenia, Slovakia;;;;R10198;2022 ~ 2023;"-
"
Serious risk;Consumer;A12/01718/22;Germany;Germany;No;Injuries;The product does not comply with the requirements laid down in the Regulation on the approval and market surveillance of motor vehicles and their trailers, and of systems, components and separate technical units intended for such vehicles.;Passenger car;3 Series (G20, G21), M3 (G80);Passenger car;Bmw;Motor vehicles;G3L, G3K, G234M, e1*2007/46*1947*, e1*2007/46*2017*, e1*2018/858*00003*;77000000 - Automotive;The front safety belt on the left side may be faulty. This can increase the risk of injury in the event of an accident.;;"Type of economic operator taking notified measure(s): Manufacturer
Category of measure(s): Recall of the product from end users
Date of entry into force: Unknown";Denmark, Finland, Poland, Sweden;"https://www.bmw.de/Rueckrufe							";;;0072470200;44816;
Serious risk;Consumer;A12/01717/22;Germany;Germany;No;Injuries;The product does not comply with the Regulation on the approval and market surveillance of motor vehicles and their trailers, and of systems, components and separate technical units intended for such vehicles.;Passenger car;"5 Series Limousine, 5 Series Touring, M5							";Passenger car;Bmw;Motor vehicles;G5L, G5K, F5LM, e1*2007/46*1688*, e1*2007/46*1750*, e1*2007/46*1828*;77000000 - Automotive;Due to improper installation of the seat belts, the restraint function may be impaired, increasing the risk of injury in the event of an accident.;;"Type of economic operator taking notified measure(s): Manufacturer
Category of measure(s): Recall of the product from end users
Date of entry into force: Unknown";Denmark, Ireland, Poland, Sweden;"https://www.bmw.de/Rueckrufe							";;;"0052060200							";23.6.2022 - 24.6.2022;
Serious risk;Consumer;A12/01716/22;Germany;Spain;No;Injuries;The product does not comply with the Regulation on the approval and market surveillance of motor vehicles and their trailers, and of systems, components and separate technical units intended for such vehicles.;Passenger car;Kuga;Passenger car;Ford;Motor vehicles;DFK, e13*2007/46*2188*02-*07;77000000 - Automotive;Due to improper fitting, the seat belt retention function may not be effective, increasing the risk of injury in the event of an accident.;;"Type of economic operator taking notified measure(s): Manufacturer
Category of measure(s): Recall of the product from end users
Date of entry into force: Unknown";Denmark, Finland, France, Croatia, Ireland, The Netherlands, Poland, Sweden, Slovenia;"https://www.fordtechservice.dealerconnection.com/							";;;"22S63							";14.11.2019 - 30.4.2021;
Serious risk;Consumer;A12/01673/22;Belgium;Mexico;No;Injuries;The product does not meet the Regulation on the type-approval and market surveillance of two- or three-wheel vehicles and quadricycles.;All terrain vehicle;BRP Ryker;Four-wheeled all terrain vehicle of Model years 2019 to 2021 and specific serial numbers of Model years 2022- 2023. ;BRP;Motor vehicles;Ryker MY2019-MY2023;77000000 - Automotive;The position light and flasher electrical harnesses in the front fenders may be loose and rub on the tyre, leading over time to a short circuit. This can cause the engine to stop while driving, without the possibility of restarting it. This in turn will cause the stability system, which includes the anti-lock braking system not to function, creating a risk of an accident.;;"Type of economic operator taking notified measure(s): Importer
Category of measure(s): Recall of the product from end users
Date of entry into force: 07/11/2022";Bulgaria, Germany, Denmark, Finland, France, Luxembourg, The Netherlands, Norway, Portugal, Sweden, Slovenia;;;;;2019 - 2023;
Serious risk;Professional;A12/01656/22;Germany;Italy;No;Injuries;The product does not comply with the  Regulation on the approval and market surveillance of motor vehicles and their trailers, and of systems, components and separate technical units intended for such vehicles.;Lorry;S-WAY (Stralis, Trakker, S-Way, X-Way, T-Way) ;Lorry with optional mechanical front suspension  ;Iveco;Motor vehicles;AA3C, 2D3C, AD3C, 2B3C, BA3C, 2Y3C, AB3C, 1A3C, MS34Y, MTGE3, MTGB3, MTGC4, MTGA2, e3*2007/46*0104*18-*20, e3*2007/46*0130*16, e3*2007/46*0132*16, *17, *19, *20, , e3*2007/46*0133*14-*17, e3*2007/46*0135*16-*22, e3*2007/46*0136*20-*27,e3*2007/46*0137*16, *17, *19, e3*2007/46*0143*19-*25, e3*2007/46*0179*13-*17, e3*2007/46*0181*11, , e3*2007/46*0182*15-*16, e3*2007/46*0183*12, *14, *15, e3*2007/46*0184*12;77000000 - Automotive;Due to loss of the pre-tensioning force on the mountings of the front leaf spring suspension, the front axle leaf spring holders may become detached during driving, increasing the risk of an accident. ;;"Type of economic operator taking notified measure(s): Manufacturer
Category of measure(s): Recall of the product from end users
Date of entry into force: Unknown";Bulgaria, Denmark, Finland, Greece, Croatia, Ireland, The Netherlands, Portugal, Sweden, Slovenia;https://www.iveco.com/Pages/Iveco-brands.html;;;"04V							";1 October 2018 - 30 September 2022;
Serious risk;Consumer;A12/01712/22;Germany;Germany;No;Injuries;The product does not comply with the Regulation on the approval and market surveillance of motor vehicles and their trailers, and of systems, components and separate technical units intended for such vehicles.;Passenger car;Focus;Passenger car;Ford;Motor vehicles;DEH, e13*2007/46*1911*15;77000000 - Automotive;The wall of the wheel axle bolt hole may be weaker on one side. This could cause the lower ball joint to detach, leading to a loss of vehicle control, increasing the risk of an accident.;;"Type of economic operator taking notified measure(s): Manufacturer
Category of measure(s): Recall of the product from end users
Date of entry into force: Unknown";Denmark, Finland, France, Croatia, The Netherlands, Poland, Slovenia;"https://www.fordtechservice.dealerconnection.com/							";;;"22S49							";9.6.2022 - 6.7.2022;
Serious risk;Professional;A12/01652/22;Germany;Sweden;No;Injuries;The product does not comply with the Regulation on the approval and market surveillance of motor vehicles and their trailers, and of systems, components and separate technical units intended for such vehicles.;Lorry;"LPGRS-Series		";Lorry;Scania;Motor vehicles;N323, N324, N333, N334, N343, N353, N323, N324, N333, N334, N343, N353, e4*2007/46*1130*00, e4*2007/46*1131*00, e4*2007/46*1132*00, e4*2007/46*1133*00, e4*2018/858*00098*02, e4*2018/858*00099*02, e4*2018/858*00100*02, e4*2018/858*00101*02, e4*2018/858*00102*02, e4*2018/858*00103*02, e4*2007/46*1128*00, e4*2007/46*1129*00;77000000 - Automotive;The track rods may be improperly manufactured, which can lead to that the track rod ball joint can become detached. This might cause loss of steering, creating a risk of an accident and injury. ;;"Type of economic operator taking notified measure(s): Manufacturer
Category of measure(s): Recall of the product from end users
Date of entry into force: Unknown";Bulgaria, Finland, France, Croatia, Ireland, Norway, Sweden, Slovenia;;;;"RC220701							";1.01.2021 – 30.06.2021;
Serious risk;Consumer;A12/01705/22;Germany;Switzerland;No;Injuries;The product does not comply with the Regulation on the approval and market surveillance of two- or three wheels vehicles and quadricycles.;Speed pedelec;ST1, ST3, ST5;Pedal-assisted e-bikes without throttles.;Stromer;Motor vehicles;ST1, ST5, e13*168/2013*00603*02, e13*168/2013*00480*04;77000000 - Automotive;Due to cracks in the weld seam area the forks that attach the front wheel to the deck can break, increasing the risk of an accident.;;"Type of economic operator taking notified measure(s): Manufacturer
Category of measure(s): Recall of the product from end users
Date of entry into force: Unknown";Denmark;"https://www.stromerbike.com/de/voluntary-recall						";;;"A220123							";1.02.2019 –31.03.2020;
Serious risk;Consumer;A12/01681/22;Austria;Austria;No;Fire;The product does not comply with the Regulation on the approval and market surveillance of two- or three wheel vehicles and quadricycles.;Motorcycle;1290 Super Duke R;Motorcycle, model years 2020-2022.;KTM;Motor vehicles;e1*168/2013*00185*02 (2020-2021), e1*168/2013*00185*03 (2022);77000000 - Automotive;Short circuits in the wiring harness may occur, increasing the risk of fire.;;"Type of economic operator taking notified measure(s): Manufacturer
Category of measure(s): Recall of the product from end users
Date of entry into force: 04/11/2022";Bulgaria, Germany, Denmark, Finland, France, Greece, Ireland, Luxembourg, Norway, Portugal, Sweden, Slovenia;https://www.ktm.com/de-at/service/Safety.html;;;11_2009785;"MY 2021
MY 2022
MY2020";
Serious risk;Consumer;A12/01664/22;Germany;People's Republic of China;No;Fire;The product does not comply with the Regulation on the approval and market surveillance of motor vehicles and their trailers, and of systems, components and separate technical units intended for such vehicles.;Passenger car;C5X;Passenger car;CITROEN;Motor vehicles;N, e9*2018/858*11066*02-*03;77000000 - Automotive;A faulty rubber hose may leak fuel which can reach hot parts of the vehicle and create a risk of fire.;;"Type of economic operator taking notified measure(s): Manufacturer
Category of measure(s): Recall of the product from end users
Date of entry into force: Unknown";Bulgaria, Finland, Croatia, Ireland, Poland, Portugal, Sweden, Slovenia, Slovakia;"https://www.citroen.de/wartung-services/rueckrufaktion-pruefung.html							";;;"JKH							";22.02.2022 - 07.06.2022;
Serious risk;Consumer;A12/01663/22;Portugal;Japan;No;Injuries;The product does not comply with the Regulation on the approval and market surveillance of motor vehicles and their trailers, and of systems, components and separate technical units intended for such vehicles.;Passenger van / Light commercial vehicle;RAV4;"Passenger van / Light commercial vehicle; Model year 2001~2005.";Toyota;Motor vehicles;e6*98/14*0070*01;77000000 - Automotive;The seat-belt retractors may not function properly, where the force limiter may allow the seat belt to extend more than intended. This in turn may increase the amount of forward motion of the occupant, increasing the risk of injury, in the event of an accident.;;"Type of economic operator taking notified measure(s): Importer
Category of measure(s): Recall of the product from end users
Date of entry into force: Unknown";Germany, France, The Netherlands;;;;22SMD-109;"4.11.2003 - 4.03.2005; 23.04.2001 - 13.07.2004; 10.10.2003 - 21.01.2004; 1.06. 2001 - 4.09.2003. ";
Serious risk;Consumer;A12/01662/22;Portugal;People's Republic of China;No;Injuries;The product does not comply with the Regulation on the approval and market surveillance of motor vehicles and their trailers, and of systems, components and separate technical units intended for such vehicles.;Passenger car;Spring;Passenger car, Dacia Spring XBG manufactured in the SHIYAN plant.;Dacia;Motor vehicles;e9*2018/858*11001*04, e9*2018/858*11001*05.;77000000 - Automotive;The rear right seat belt retractor may malfunction. This can reduce the restraining effect of the belt, increasing the risk of injury in the event of an accident.;;"Type of economic operator taking notified measure(s): Distributor
Category of measure(s): Recall of the product from end users
Date of entry into force: 09/11/2022";Bulgaria, Germany, Denmark, France, The Netherlands, Poland, Romania, Slovenia;;;;0DYJ;26.04.2022 - 04.10.2022.;
Serious risk;Consumer;A12/01707/22;Germany;Germany;No;Injuries;The product does not comply with the Regulation on the approval and market surveillance of motor vehicles and their trailers, and of systems, components and separate technical units intended for such vehicles.;Passenger car;C-Class;Passenger car;Mercedes-Benz;Motor vehicles;R2CW, e1*2018/858*00016*02-*03;77000000 - Automotive;The gearbox may be faulty. Forces and vibrations may occur when driving, which could damage the gear-shift linkage and the gearbox could  disconnect from the drive shaft, causing the vehicle to lose propulsion. Moreover, components could detach from the vehicle, posing a risk to other road users.;;"Type of economic operator taking notified measure(s): Manufacturer
Category of measure(s): Recall of the product from end users
Date of entry into force: Unknown";France, Ireland, The Netherlands, Poland, Portugal;https://www.mercedes-benz.de;;;"2492002							";28.10.2021 – 15.03.2022;
Serious risk;Consumer;A12/01706/22;Germany;Germany;No;Injuries;The product does not comply with the Regulation on the approval and market surveillance of motor vehicles and their trailers, and of systems, components and separate technical units intended for such vehicles.;Passenger car;911;Passenger car;Porsche;Motor vehicles;992, e13*2007/46*0992*14;77000000 - Automotive;The seat belts may be faulty. In the event of an accident the seat belt fixtures could detach, which creates a risk of injury.;;"Type of economic operator taking notified measure(s): Manufacturer
Category of measure(s): Recall of the product from end users
Date of entry into force: Unknown";France, The Netherlands, Sweden;;;;"ANB6							";10.05.2021 – 31.05.2022;
Serious risk;Consumer;A12/01674/22;Portugal;Belgium;No;Fire, Injuries;The product does not comply with the Regulation on the approval and market surveillance of motor vehicles and their trailers, and of systems, components and separate technical units intended for such vehicles.;Passenger van / Light commercial vehicle;Proace/Proace Verso;Passenger van / Light commercial vehicle, Model years 2020~2022. ;Toyota;Motor vehicles;e21*NKS*0101*10, e2*2007/46*0537*15, e2*2007/46*0537*16, e2*2007/46*0537*17, e2*2007/46*0538*18, e2*2007/46*0538*19;77000000 - Automotive;The fuel tube may become damaged over time and leak, increasing the risk of fire. Moreover, leaking fuel may impair the vehicle's controllability and poses a risk for  other road users.;;"Type of economic operator taking notified measure(s): Importer
Category of measure(s): Recall of the product from end users
Date of entry into force: Unknown";Bulgaria, Germany, Finland, Greece, The Netherlands, Norway, Poland, Sweden, Slovenia, Slovakia;;;;CI22-049;30.11.2020-25.01.2022;
Serious risk;Consumer;A12/00514/23;Germany;United States;No;Injuries;The product does not comply with the Regulation on the approval and market surveillance of two- or three wheel vehicles and quadricycles.;Motorcycle;Touring, CVO Touring, Trike, CVO Trike;Motorcycle;HARLEY-DAVIDSON;Motor vehicles;TG1, FL3, e4*168/2013*00025*02-*06, e4*168/2013*00016*05-*10;77000000 - Automotive;The brake light may stay lit constantly. This creates a risk of a collision, injuries;;"Type of economic operator taking notified measure(s): Manufacturer
Category of measure(s): Recall of the product from end users
Date of entry into force: Unknown";Bulgaria, Denmark, Estonia, Finland, France, Croatia, Ireland, Norway, Sweden, Slovenia;"https://serviceinfo.harley-davidson.com/sip/index							";;;0635;6.7.2018 - 23.6.2022;
